PID,Social Media Post,Normalized Claim,post
2534,Consuming raw onion with salt will turn covid positive person to negative in just 15 minutes,Consuming raw onion with salt will turn covid positive person to negative in just 15 minutes,consuming raw onion with salt will turn covid positive person to negative inch just 15 minutes
2535,"President 
 @realDonaldTrump
 : New York Governor Andrew Cuomo refused to order 16,000 ventilators back in 2015 for a pandemic!","Says N.Y. Gov. Andrew Cuomo “rejected buying recommended 16,000 ventilators in 2015 for the pandemic, for a pandemic, established death panels and lotteries instead. So, he had a chance to buy, in 2015, 16,000 ventilators at a very low price, and he turned it down.”","president realdonaldtrump new york governor andrew cuomo refused to order 16,000 ventilators back inch 2015 for a pandemic!"
2536,"There are a range of factors that can lead to variable reporting of one vaccine over another, for instance, socio-demographic factors of vaccine recipients or whether or not they have been encouraged by information, or a healthcare professional, to make a report",The MHRA has confirmed deaths due to Covid-19 vaccines in 10 months are 330% higher than deaths due to all other vaccines in the past 20 years.,"there are a range of factors that can lead to variable reporting of one vaccine over another, for instance, sociodemographic factors of vaccine recipients or whether or not they have been encouraged by information, or a healthcare professional, to make a report"
2537,"In individuals aged 40 to 79, the rate of a positive COVID-19 test is higher in vaccinated individuals compared to unvaccinated. This is likely to be due to a variety of reasons, including differences in the population of vaccinated and unvaccinated people as well as differences in testing patterns",A PHE report shows the Covid-19 vaccines have negative effectiveness in the over-40s.,"inch individuals aged 40 to 79, the rate of a positive covid19 test is higher inch vaccinated individuals compared to unvaccinated. this is likely to be due to a variety of reasons, including differences inch the population of vaccinated and unvaccinated people as well as differences inch testing patterns"
2538,"In line with what is known from the international research evidence, the preliminary data presented above shows no increased risk of perinatal mortality or preterm birth following Covid-19 vaccination in pregnancy.",The number of miscarriages in Lanarkshire doubled in 2022 because of the Covid-19 vaccines.,"inch line with what is known from the international research evidence, the preliminary data presented above shows no increased risk of perinatal mortality or preterm birth following covid19 vaccination inch pregnancy."
2539,"A fireman in Jackson just informed us that they have responded to several calls where people are picking up money off the ground and then becoming numb.
The money is laced with something and when touching other parts of body they become numb.
This is a new way of targeting people to rob.
They also have seen where zip ties are being placed on car doors targeting car/person to rob.
This is true and happening in Jackson. So please don't pick up money you see on the ground no matter the denomination.
Stay vigilant and be careful
Let others know to be aware .","The claim: People in Jackson, Mississippi, are being harmed by laced money",a fireman inch jackson just informed us that they have responded to several calls where people are picking up money off the ground and then becoming numb. the money is laced with something and when touching other parts of body they become numb. this is a new way of targeting people to rob. they also have seen where zip ties are being placed on car doors targeting carperson to rob. this is true and happening inch jackson. so please do not pick up money you see on the ground no matter the denomination. stay vigilant and be careful let others know to be aware .
2540,Russia launches battle with Ukraine@WD02,Footage of a plane being fired at shows the war in Ukraine.,russia launches battle with ukrainewd02
2541,"The figures below show you're more likely to have Covid and pass it on, if you're vaccinated",UKHSA data shows that the Covid-19 vaccines are negatively effective.,"the figures below show you are more likely to have covid and pass it on, if you are vaccinated"
2542,"Individuals under increased stress may reduce health promoting behaviours (eg, optimal oral hygiene practices).",Poor oral health raises the risk of mental illness by a third.,"individuals under increased stress may reduce health promoting behaviours eg, optimal oral hygiene practices."
2543,"Statement from President Trump on the situation on the border as well his thoughts on 
 @DHSgov
  Secretary Mayorkas #BorderCrisis #Border","""We proudly handed the Biden administration the most secure border in history. All they had to do was keep this smooth-running system on autopilot.”",statement from president trump on the situation on the border as well his thoughts on dhsgov secretary mayorkas bordercrisis border
2544,"Thousands of poor living in slums in Delhi's landless camp are getting the gift of a permanent house.
Today Prime Minister Shri @narendramodi will make his dream come true by handing over the keys of 3024 EWS flats to the beneficiaries. Translated from Hindi by Google
Thousands of poor living in slums in Delhi's landless
camp are getting the gift of a pucca house.
Today the Prime Minister Shri @narendramodi will give the key of 3024 EWS flats to the beneficiaries, their dream will come true.
now a slum
Central Government has given a big gift to the residents of Delhi, PM Shri Narendra Modi will get a pucca house.
Kalkaji (Delhi) today at 4:30 pm
Will inaugurate 3024 newly constructed EWS flats and hand over the keys of the flats to the beneficiaries","Thousands of poor living in slums in Delhi’s landless camp are getting the gift of a pucca house. Today the Prime Minister Shri @narendramodi will give the key of 3024 EWS flats to the beneficiaries, their dream will come true.","thousands of poor living inch slums inch delhis landless camp are getting the gift of a permanent house. today prime minister shri narendramodi will make his dream come true by handing over the keys of 3024 ews flats to the beneficiaries. translated from hindi by google thousands of poor living inch slums inch delhis landless camp are getting the gift of a pucca house. today the prime minister shri narendramodi will give the key of 3024 ews flats to the beneficiaries, their dream will come true. now a slum central government has given a big gift to the residents of delhi, pm shri narendra modi will get a pucca house. kalkaji delhi today at 430 pm will inaugurate 3024 newly constructed ews flats and hand over the keys of the flats to the beneficiaries"
2545,"The United States was supposed to be in Syria for 30 days, that was many years ago. We stayed and got deeper and deeper into battle with no aim in sight. When I arrived in Washington, ISIS was running rampant in the area. We quickly defeated 100% of the ISIS Caliphate,.....","""But Europe did not want them back, they said you keep them USA! I said ‘NO, we did you a great favor and now you want us to hold them in U.S. prisons at tremendous cost. They are yours for trials.’""","the united states was supposed to be inch syria for 30 days, that was many years ago. we stayed and got deeper and deeper into battle with no aim inch sight. when i arrived inch washington, isis was running rampant inch the area. we quickly defeated 100 of the isis caliphate,....."
2546,All opposition parties must stand together and come out.,A glitch in the Fijian Elections Office's Results App was a breach of the Electoral Act and a recount is now required.,all opposition parties must stand together and come out.
2547,"A simple way to nobble your MP this method is to get YOUR views out to them. Let them see they'll loose your vote if they say yes to any of the questions .
Remember you don't actually have to vote for them anyway ..it's a rouse to get your views to them","65,000 people died of winter flu in December 2017 and January 2018.",a simple way to nobble your mp this method is to get your views out to them. let them see they will loose your vote if they say yes to any of the questions . remember you do not actually have to vote for them anyway ..it is a rouse to get your views to them
2548,The City of London leads the way in the effects of sanctioning Russian banks,"The UK has sanctioned £258.8 billion of Russian bank assets, while the US has sanctioned £240 billion and the EU £38.8 billion.",the city of london leads the way inch the effects of sanctioning russian banks
2549,We would not advise using tampons to stem severe bleeding as you may not know whether there is an object in the wound nor the full extent of the injury and therefore you risk doing further damage.,"If you get stabbed, open a tampon and whack it in the wound. The tampon will swell, which creates pressure and stops the bleeding.",we would not advise using tampons to stem severe bleeding as you may not know whether there is an object inch the wound nor the full extent of the injury and therefore you risk doing further damage.
2550,"Malnutrition in children is an important public health issue that should be subject to public scrutiny and open debate, but it is equally important that this takes place on the basis of the correct facts","915 children were admitted with malnutrition in Cambridge hospitals between 2015 and 2020. There were 656 similar admissions at Newcastle hospitals, and 656 at the Royal Free London hospitals.","malnutrition inch children is an important public health issue that should be subject to public scrutiny and open debate, but it is equally important that this takes place on the basis of the correct facts"
2551,"If you want to find out the truth about CO2 and our ""climate crisis"" follow Peter Clack on Twitter.
 
 He is a true expert and he explains that our CO2 is actually not enough. We have had an uptake in CO2 and that is why in the past 20 years green is starting to grow in our deserts.
 
 CO2 is too low right now and we need more of it so everything they are saying about climate change is complete nonsense.
 
 We are at risk of cooling right now. Do you remember when they changed the term from global warming to climate change? That's because they follow the climate and make their narrative fit whatever the climate is doing.
 
 It is fear-mongering for complete control over our lives, and while they're at it, taxing us into poverty.
 
 Stop complying with the most corrupt governments around the world that are all being manipulated by the same group of people.",The claim: ‘No correlation’ between carbon dioxide emissions and the climate ,"if you want to find out the truth about co2 and our climate crisis follow peter clack on twitter. he is a true expert and he explains that our co2 is actually not enough. we have had an uptake inch co2 and that is why inch the past 20 years green is starting to grow inch our deserts. co2 is too low right now and we need more of it so everything they are saying about climate change is complete nonsense. we are at risk of cooling right now. do you remember when they changed the term from global warming to climate change? that is because they follow the climate and make their narrative fit whatever the climate is doing. it is fearmongering for complete control over our lives, and while they are at it, taxing us into poverty. stop complying with the most corrupt governments around the world that are all being manipulated by the same group of people."
2552,"Largest collection of human data in history, with NO consent. Figures. 
 
 Anyone else not done a single test?",The Centers for Disease Control and Prevention has amassed the “largest collection of human data in history” through COVID-19 PCR tests.,"largest collection of human data inch history, with no consent. figures. anyone else not done a single test?"
2553,"
Senator Bernie Sanders led the effort to dump Vermont's nuclear waste on a poor latino community in Texas.
We need to work together to protect disadvantaged communities and help them thrive.
Call today and tell Bernie Sanders we need to end dirty politics: 202-224-5141.",“Sen. Bernie Sanders led the effort to dump Vermont's nuclear waste on a poor Latino community in Texas.”,senator bernie sanders led the effort to dump vermonts nuclear waste on a poor latino community inch texas. we need to work together to protect disadvantaged communities and help them thrive. call today and tell bernie sanders we need to end dirty politics 2022245141.
2554,"Fireball Whiskey recalled-contains propylene glycol used in Antifreeze. Does TN Fire contain propylene glycol? Hope not. 
 @JD_SingleBarrel",Fireball whisky contains propylene glycol,fireball whiskey recalledcontains propylene glycol used inch antifreeze. does tn fire contain propylene glycol? hope not. jdsinglebarrel
2555,"But it says ""Hassan"" on his uniform....","A social media picture claims that it is an image of Major General Faisal Naseer, who serves as the Director General of Counter Intelligence at the Inter-Services Intelligence (ISI).",but it says hassan on his uniform....
2556,the global recession is a PLANNED and COORDINATED attack to get us to submit to digital IDs and digital currency i.e. a Chinese style social credit system!,The Queen didn’t die on 8 September.,the global recession is a planned and coordinated attack to get us to submit to digital ids and digital currency i.e. a chinese style social credit system!
2557,"Attention!
Staring at a woman for more than 14 seconds can send you to jail.
NCIB Headquarters > @NCIBHQ
Required Information :~
700
Seeing any girl / woman for more than 14 seconds can lead to jail. Because knowingly or unknowingly or jokingly staring at a familiar or unfamiliar girl / woman for more than 14 seconds is a serious crime under section 294 and 509 of the IPC. Such cases come under molestation.",Staring at a woman for more than 14 seconds is a serious crime and can lead to jail under sections 294 and 509 of IPC,attention! staring at a woman for more than 14 seconds can send you to jail. ncib headquarters ncibhq required information 700 seeing any girl woman for more than 14 seconds can lead to jail. because knowingly or unknowingly or jokingly staring at a familiar or unfamiliar girl woman for more than 14 seconds is a serious crime under section 294 and 509 of the ipc. such cases come under molestation.
2558,"17 September National Unemployment Day: If students fight for their rights, lathi charge on them, farmer fight for their rights, then lathi charge",Images with a claim that students protesting against unemployment were beaten by UP Police,"17 september national unemployment day if students fight for their rights, lathi charge on them, farmer fight for their rights, then lathi charge"
2559,"everyone
HELP!!! #hucknall
My son Charlie William took off this morning with our dog Tank. He is autistic and has been missing for eight hours now,if anyone sees him or our dog please PM me please re-post on any sites.I already contacted police.",An autistic boy named Charlie William has gone missing with his dog.,"everyone help!!! hucknall my son charlie william took off this morning with our dog tank. he is autistic and has been missing for eight hours now,if anyone sees him or our dog please pm me please repost on any sites.i already contacted police."
2560,"1 eggplant, you will melt your belly fat in 7 days without diet or exercises, You will lose up to 10 kg in a week #weightloss #bellyfat #homemade #diy #drinks",Belly fat melt in 7 days by having a drink of lemon and eggplant,"1 eggplant, you will melt your belly fat inch 7 days without diet or exercises, you will lose up to 10 kilogram inch a week weightloss bellyfat homemade diy drinks"
2561,Dr Manmohan Singh ji will be the chief guest of the swearing-in ceremony of the new President of the United States,Dr Manmohan Singh ji will be the chief guest of the swearing-in ceremony of the new President of the United States,dr manmohan singh ji will be the chief guest of the swearinginch ceremony of the new president of the united states
2562,This is very interesting,Hydrogen Peroxide can treat Skin Cancer,this is very interesting
2563,Using this 1/day can eliminate the need for checking sugar levels.,CBD gummies reverse Type 1 and Type 2 diabetes,using this 1day can eliminate the need for checking sugar levels.
2564,"Again, we are asking a simple question. If this stuff works then why can't we LIVE like it works? What are you really telling us here? It's not a trick question. What is the answer?","""Why, for example, does [National Institute of Allergy and Infectious Diseases Director] Tony Fauci say you have to wear a mask after you get the vaccine?""","again, we are asking a simple question. if this stuff works then why cannot we live like it works? what are you really telling us here? it is not a trick question. what is the answer?"
2565,SO SAD for Meghan as she was DENIED to join THE FUNERAL by QUEEN'S LAST ORDER,The claim: Duchess Meghan was denied entry to Queen Elizabeth II's funeral,so sad for meghan as she was denied to join the funeral by queens last order
2566,Science fiction becomes reality.,Artificial womb facility concept is a reality now,science fiction becomes reality.
2567,This is a genuine Ad from 1964 when WD-40 was first released,A WD-40 ad from the 1960s is filled with sexual innuendo.,this is a genuine ad from 1964 when wd40 was first released
2568,"Warning over 140,000 'ghost children' who have disappeared from UK schools since pandemic","140,000 children went missing from education during the pandemic and have not returned to school.","warning over 140,000 ghost children who have disappeared from uk schools since pandemic"
2569,"Not anymore Faizabad Cantt railway station, on the eve of Dusshera defence minister 
 @rajnathsingh
  Ji approves the proposal of changing it as Ayodhya Cantt railway station.
 
 Jai Shree Ram..!","Not anymore Faizabad Cantt railway station, on the eve of Dusshera defence minister @rajnathsingh Ji approves the proposal of changing it as Ayodhya Cantt railway station.

Jai Shree Ram..!","not anymore faizabad cantt railway station, on the eve of dusshera defence minister rajnathsingh ji approves the proposal of changing it as ayodhya cantt railway station. jai shree random access memory..!"
2570,It's none of our business; it is China's business what laws it passes; so please a little self-restraint. I devised a visa rubber stamp that stamps most of the South China Sea and parts of North Borneo as our national territory and no one has complained. I forgot to include Guam.,"China's new coast guard policy  is ""none of our business;"" it is China's business what law it passes.",it is none of our business it is chinas business what laws it passes so please a little selfrestraint. i devised a visa rubber stamp that stamps most of the south china sea and parts of north borneo as our national territory and no one has complained. i forgot to include guam.
2571,"| El periodista Adeel Raja de CNN dice que el mundo ""necesita un Hitler"" por los sucesos en Israel.",“PERIODISTA ADEEL RAJA DE CNN DICE QUE EL MUNDO “NECESITA UN HITLER” POR LOS SUCESOS EN ISRAEL”,el periodista adeel raja de cnn dice que el mundo necesita un hitler por los sucesos en israel.
2572,"QAnon promoters on Telegram, including QAnon John, are already speculating baselessly that the elementary school shooting in Uvalde, Texas, was a false flag.","The shooting at an elementary school in Uvalde County, Texas, was a false flag.
","qanon promoters on telegram, including qanon john, are already speculating baselessly that the elementary school shooting inch uvalde, texas, was a false flag."
2573,"If Mike Pence did this in 2016, the media would have lost their minds.",Kamala Harris “has not formally taken questions from the press a single time” since she was announced as Joe Biden’s vice presidential pick.,"if mike pence did this inch 2016, the media would have lost their minds."
2574,Reality of #BoycottTanishq movement. BJP don,What #BoycottTanishq is on Twitter and what it actually is. From one lakh twelve thousand to 200 rupees.,reality of boycotttanishq movement. bjp don
2575,"Usage of the vaccines has increased rapidly and as such, so has reporting of fatal events with a temporal association with vaccination however, this does not indicate a link between vaccination and the fatalities reported","1,295 people died as a result of the Covid-19 vaccine.","usage of the vaccines has increased rapidly and as such, so has reporting of fatal events with a temporal association with vaccination however, this does not indicate a link between vaccination and the fatalities reported"
2576,WEF claims to engineer the climate,An article published by the World Economic Forum confirms that the organisation is engineering the climate.,wef claims to engineer the climate
2577,"Height is Sickularism!!! 
 
 Halal certified Aavin Butter!!! Enjoy",Incredible…. Halal on cooking butter….,height is sickularism!!! halal certified aavin butter!!! enjoy
2578,"RIP Leslie Phillips, a great actress, grew up watching Birds of a Feather",Nadhim Zahawi confused actors Leslie Phillips and Lesley Joseph in a tribute tweet following the former’s recent death.,"rip leslie phillips, a great actress, grew up watching birds of a feather"
2579,Extract from the peer reviewed paper in The British Medical Journal how much more proof do you want that the tests are a massive part of the problem here's a screenshot of the article in my earlier post..I'm no expert but I'm capable of sharing what the experts say.,A BMJ article is proof that the use of PCR tests are a massive part of the problem.,extract from the peer reviewed paper inch the british medical journal how much more proof do you want that the tests are a massive part of the problem here is a screenshot of the article inch my earlier post..i am no expert but i am capable of sharing what the experts say.
2580,"There is no way that this was legitimate.. and no, we are not calling the AZ race yet. Kari, Abe, and Blake are still in this! And we need them",The claim: Candidates with more social media followers losing an election is proof of fraud,"there is no way that this was legitimate.. and no, we are not calling the az race yet. kari, abe, and blake are still inch this! and we need them"
2581,"Friendly reminder that abortions are considered a sacred ritual of the Satanic temple. So if you register as a member, it should be protected under the first amendment.","You can ""protect your religious freedom of abortion"" by joining The Satanic Temple.","friendly reminder that abortions are considered a sacred ritual of the satanic temple. so if you register as a member, it should be protected under the first amendment."
2582,What are your fathers of the nation doing?,Mahatma Gandhi in close proximity to a woman.,what are your fathers of the nation doing?
2583,"Rough day? Have a laugh.

Here's AOC faking being arrested.",Rep. Alexandria Ocasio-Cortez did not get arrested while protesting at the Supreme Court,rough day? have a laugh. here is aoc faking being arrested.
2584,Ellen degeneres is on house arrest for child sex trafficking,The claim: Well-known politicians and celebrities are under house arrest for sex trafficking,ellen degeneres is on house arrest for child sex trafficking
2585,Corona is the cure humans are the disease,A branch of Extinction Rebellion tweeted in support of a flyer saying “Corona is the cure. Humans are the disease.”.,corona is the cure humans are the disease
2586,Around 3 in 4 patients in hospital with Covid right now are over 65. Only around half have had the second booster. Vaccines remain the greatest protection against severe disease and hospitalisation. The numbers coming forward for a second booster are increasing. #ForUsAll,"More than 1500 athletes have suffered cardiac arrest since COVID vaccinations began, compared to a previous average of 29 per year.",around 3 inch 4 patients inch hospital with covid right now are over 65. only around half have had the second booster. vaccines remain the greatest protection against severe disease and hospitalisation. the numbers coming forward for a second booster are increasing. forusall
2587,Do you see the problem here. Do you see the common denominator. This is why and how black families are destroyed. No different from slavery where family members were sold off like cattle. THIS IS SYSTEMIC RACISM DO YOU SEE IT?,A white armed-robbery suspect was sentenced to two years in jail while a black armed-robbery suspect was sentenced to 26 years in prison by the same Florida judge.,do you see the problem here. do you see the common denominator. this is why and how black families are destroyed. no different from slavery where family members were sold off like cattle. this is systemic racism do you see it?
2588,"Dear (paytm) customer your paytm KYC has been suspended PAY-TM
office PH 7679046492 A/C will block within 24hr Thank you",Paytm KYC suspended and account will be blocked within 24 hours,dear paytm customer your paytm kyc has been suspended paytm office ph 7679046492 ac will block within 24hr thank you
2589,"I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!","""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""","i have been much tougher on russia than obama, just look at the facts. total fake news!"
2590,"I've just heard some really shocking news, The Royal British Legion are not selling poppies in certain areas on Nov 11 this year. This is because some minorities say that it will upset them, I say sod off ... The poppy is a symbol of reverence for our fallen heroes of all the wars the BRITISH military have fought in. BRITAIN STAND UP AND SAY 'WE WANT THE POPPY SOLD EVERY WERE [sic] IN THE UK'. THIS IS OUR RIGHT TO REVERE OUR FALLEN... PLEASE RE-POST",The Royal British Legion will not be selling poppies in certain areas to avoid upsetting “minorities”.,"i have just heard some really shocking news, the royal british legion are not selling poppies inch certain areas on nov 11 this year. this is because some minorities say that it will upset them, i say sod off ... the poppy is a symbol of reverence for our fallen heroes of all the wars the british military have fought inch. britain stand up and say we want the poppy sold every were sic inch the uk. this is our right to revere our fallen... please repost"
2591,LIBERATE MICHIGAN!,Stay-at-home orders “actually are the law of these states.”,liberate michigan!
2592,"Freudian slip by Greta Thunberg? If anyone has kept up with her recently, she speaks out in a different way than she used to about Climate Change. PC: @realbrendamemes3.0",The claim: Greta Thunberg said the climate crisis is not real ,"freudian slip by greta thunberg? if anyone has kept up with her recently, she speaks out inch a different way than she used to about climate change. pc realbrendamemes3.0"
2593,"Although RF radiation is not thought to cause cancer by damaging the DNA in cells the way ionising radiation does, there has been concern that in some circumstances, some forms of non-ionizing radiation might still have other effects on cells that might somehow lead to cancer","AirPods are directing radiation and Bluetooth signals directly into the brain, and you shouldn’t wear them if you don’t want a brain tumour.","although rf radiation is not thought to cause cancer by damaging the deoxyribonucleic acid inch cells the way ionising radiation does, there has been concern that inch some circumstances, some forms of nonionizing radiation might still have other effects on cells that might somehow lead to cancer"
2594,"A hindu man DJ Deverakonda Harish (28), brutally stabbed to death by his Muslim Wife's family member after 10 days of inter-faith marriage.
 
 NYT times would call this Religious Extremism of Hindus who incited violence in the minority community.","A hindu man DJ Deverakonda Harish (28), brutally stabbed to death by his Muslim Wife’s family member after 10 days of inter-faith marriage.

NYT times would call this Religious Extremism of Hindus who incited violence in the minority community.","a hindu man dj deverakonda harish 28, brutally stabbed to death by his muslim wifes family member after 10 days of interfaith marriage. nyt times would call this religious extremism of hindus who incited violence inch the minority community."
2595,"Another #DiedSuddenly brought to you by #Pfizer Moderna #WEF #Fauci #Biden the #DOD and the #CCP (that is now allowed to fly military equipment over our nation). Do you leftists believe me yet? #truth #vaccine #VaccinesWork? If you want to die.
 
 #CDC #FDA #Science @AGHuff @PeterMcCulloughMD @c19expertpanel @drpetermcculloughmd",Hunter Brown's death caused by the COVID-19 vaccine,another diedsuddenly brought to you by pfizer moderna wef fauci biden the dod and the ccp that is now allowed to fly military equipment over our nation. do you leftists believe me yet? truth vaccine vaccineswork? if you want to die. cdc fda science aghuff petermcculloughmd c19expertpanel drpetermcculloughmd
2596,"Friends, if you want to make your teeth even more white, then I want to share with you an easy way that will make your teeth shine like pearls in just 5 minutes. I came to know about it a few years ago and since then I myself have tried it quite a lot of times and believe me friends, every time it works like a magic. The best part is that it is so easy to do that even the most lazy of us will do it very comfortably. It is a 100% natural remedy that does not have any side effects. And the funny thing is that only one ingredient is needed to do it. I think this is the best time to talk about it because that ingredient is easily available this season. And that ingredient is strawberries.",A social media post is claiming that you can whiten your teeth in five minutes using strawberries without leaving any side effects. We fact-checked and found this claim to be half-true.,"friends, if you want to make your teeth even more white, then i want to share with you an easy way that will make your teeth shine like pearls inch just 5 minutes. i came to know about it a few years ago and since then i myself have tried it quite a lot of times and believe me friends, every time it works like a magic. the best part is that it is so easy to do that even the most lazy of us will do it very comfortably. it is a 100 natural remedy that does not have any side effects. and the funny thing is that only one ingredient is needed to do it. i think this is the best time to talk about it because that ingredient is easily available this season. and that ingredient is strawberries."
2597,"Had this floating around my family WhatsApp threads. Looks like spam? 

Getting trough family panic and anti-China paranoia about Coronavirus is proving hard enough as it is.",Gargling with warm and salt water kills germs on the tonsils and prevents them from leaking into the lungs.,had this floating around my family whatsapp threads. looks like spam? getting trough family panic and antichina paranoia about coronavirus is proving hard enough as it is.
2598,Saudi Arabia: snow falls for the first time in almost 100 years! Haarp help for New World order,Saudi Arabia: snow falls for the first time in almost 100 years! Haarp help for New World order‼️,saudi arabia snow falls for the first time inch almost 100 years! haarp help for new world order
2599,"IMPORTANT ANNOUNCEMENT - CORONAVIRUS
From someone who's graduated with a master's degree and who worked in Shenzhen Hospital (Guangdong Province, China) the following notes on Coronavirus for guidance:
1. If you have a runny nose and sputum, you have a common cold
2. Coronavirus pneumonia is a dry cough with no runny nose.
3. This new virus is not heat-resistant and will be killed by a temperature of just 26/27 degrees. It hates the Sun.
4. If someone sneezes with it, it takes about 10 feet before it drops to the ground and is no longer airborne.
5. If it drops on a metal surface it will live for at least 12 hours - so if you come into contact with any metal surface - wash your hands as soon as you can with a bacterial soap.
6. On fabric it can survive for 6-12 hours. normal laundry detergent will kill it.
7. Drinking warm water is effective for all viruses. Try not to drink liquids with ice.
8. Wash your hands frequently as the virus can only live on your hands for 5-10 minutes, but - a lot can happen during that time - you can rub your eyes, pick your nose unwittingly and so on.
9. You should also gargle as a prevention. A simple solution of salt in warm water will suffice.
10. Can't emphasise enough - drink plenty of water!
THE SYMPTOMS
1. It will first infect the throat, so you'll have a sore throat lasting 3/4 days
2. The virus then blends into a nasal fluid that enters the trachea and then the lungs, causing pneumonia. This takes about 5/6 days further.
3. With the pneumonia comes high fever and difficulty in breathing.
4. The nasal congestion is not like the normal kind. You feel like you're drowning. It's imperative you then seek immediate attention.
SPREAD THE WORD - PLEASE SHARE.",Drinking warm water is effective for all viruses. Try not to drink liquids with ice.,"important announcement coronavirus from someone who is graduated with a masters degree and who worked inch shenzhen hospital guangdong province, china the following notes on coronavirus for guidance 1. if you have a runny nose and sputum, you have a common cold 2. coronavirus pneumonia is a dry cough with no runny nose. 3. this new virus is not heatresistant and will be killed by a temperature of just 2627 degrees. it hates the sun. 4. if someone sneezes with it, it takes about 10 feet before it drops to the ground and is no longer airborne. 5. if it drops on a metal surface it will live for at least 12 hours so if you come into contact with any metal surface wash your hands as soon as you can with a bacterial soap. 6. on fabric it can survive for 612 hours. normal laundry detergent will kill it. 7. drinking warm water is effective for all viruses. try not to drink liquids with ice. 8. wash your hands frequently as the virus can only live on your hands for 510 minutes, but a lot can happen during that time you can rub your eyes, pick your nose unwittingly and so on. 9. you should also gargle as a prevention. a simple solution of salt inch warm water will suffice. 10. cannot emphasise enough drink plenty of water! the symptoms 1. it will first infect the throat, so you will have a sore throat lasting 34 days 2. the virus then blends into a nasal fluid that enters the trachea and then the lungs, causing pneumonia. this takes about 56 days further. 3. with the pneumonia comes high fever and difficulty inch breathing. 4. the nasal congestion is not like the normal kind. you feel like you are drowning. it is imperative you then seek immediate attention. spread the word please share."
2600,"A FIRST LADY TRAINED TO HANDLE A GUN.
Ukrainian First Lady Olena Zelenska is on the frontline fighting Russian forces.
She is 44 years old.
RT: Paul Shalala",The claim: An image shows Ukraine first lady Olena Zelenska in uniform,a first lady trained to handle a gun. ukrainian first lady olena zelenska is on the frontline fighting russian forces. she is 44 years old. rt paul shalala
2601,Situation right now...,The image shows Jacob Zuma adjusting well in prison,situation right now...
2602,"How to Lose Belly Fat Fats? The real monster is the fat in the abdominal cavity, also known as belly fat. Not only does it bring you health problems, but also it is one of the most difficult types of fat to get rid of. However, you can get rid of it in just a single night.
Each of us has some belly fat, even people who have flat tummies. That is normal, but too much of it can affect your health stronger than other types of fat.
Being overweight does not always mean being unhealthy. There are many great examples of overweight people who have excellent health. On the contrary, there is the same amount of examples of people who are skinny but face some metabolic issues.",you can lose belly fat with the help of diet in one night,"how to lose belly fat fats? the real monster is the fat inch the abdominal cavity, also known as belly fat. not only does it bring you health problems, but also it is one of the most difficult types of fat to get rid of. however, you can get rid of it inch just a single night. each of us has some belly fat, even people who have flat tummies. that is normal, but too much of it can affect your health stronger than other types of fat. being overweight does not always mean being unhealthy. there are many great examples of overweight people who have excellent health. on the contrary, there is the same amount of examples of people who are skinny but face some metabolic issues."
2603,no reason,"Propulsion can't work in a vacuum, so space travel isn't real",no reason
2604,Overdose deaths in WV are up 45% from the prior year. We need to do more to stop these drugs from entering the country and we need to get tough on the criminals that are trafficking them in our communities.,“Overdose deaths in WV are up 45% from the prior year.”,overdose deaths inch wv are up 45 from the prior year. we need to do more to stop these drugs from entering the country and we need to get tough on the criminals that are trafficking them inch our communities.
2605,"Tonight at 00:30 to 03:30am make sure to turn off your phone, cellular, tablet etc & put far away from your body. Singapore TV announced on the news! Please tell your family & friends! Tonight 12:30pm to 3:30am for our Planet will be very high radiation! Cosmic rays will pass close to Earth, So please turn off your cell phone! Do not leave your device close to your body, it can cause you terrible damage! Check Google & NASA BBC News! Send this message to all the people who matter to you.",NASA asked you to switch off your phone today due to cosmic rays,"tonight at 0030 to 0330am make sure to turn off your phone, cellular, tablet etc put far away from your body. singapore tv announced on the news! please tell your family friends! tonight 1230pm to 330am for our planet will be very high radiation! cosmic rays will pass close to earth, so please turn off your cell phone! do not leave your device close to your body, it can cause you terrible damage! check google nasa bbc news! send this message to all the people who matter to you."
2606,"We've been tracking how the right-wing media reacted to the Supreme Court overturning Roe v. Wade
 
 Here's what we've found (THREAD):",“The majority of citizens in the country will have no change at all because … most of the population resides in states that have already protected abortion rights.”,we have been tracking how the rightwing media reacted to the supreme court overturning roe v. wade here is what we have found thread
2607,"Saudi Arabia players to get a Rolls-Royce each for defeating Argentina. 
 
 Wow",Saudi Arabia players to get a Rolls-Royce each for defeating Argentina.,saudi arabia players to get a rollsroyce each for defeating argentina. wow
2608,UNESCO has declared that our PM Mr. Modi s d best prime minister in d world n hv listed 10 PM's names wherein our PM stands first. Kudos,UNESCO has declared that our PM Mr. Modi s d best prime minister in d world n hv listed 10 PM’s names wherein our PM stands first. Kudos,unesco has declared that our pm mr. modi s d best prime minister inch d world n hv listed 10 pms names wherein our pm stands first. kudos
2609,"A friend said look up what 3 red banners stand for, so I did. Simple Google search ( 3 red banners). Enjoy",The “3 red stripes” in Joe Biden’s campaign logo refer to a Chinese socialist slogan.,"a friend said look up what 3 red banners stand for, so i did. simple google search 3 red banners. enjoy"
